V1	77298041	07-07-2021  08:00:53	8.92	1.61	10.52
V2	25004270	07-07-2021  08:02:20	12.86	2.31	15.18
V3	28154980	09-07-2021  18:30:43	13.37	2.41	15.78
V4	44708440	10-07-2021  22:43:47	6.48	1.17	7.65
V5	15269088	10-07-2021  14:58:15	8.92	1.61	10.52
V6	55884072	11-07-2021  21:50:25	4.46	0.8	5.26
V7	48593682	12-07-2021  21:50:53	45.14	8.13	53.26
V8	44859263	12-07-2021  21:52:42	37.6	6.77	44.37
V9	48593625	14-07-2021  21:54:00	1.3	0.23	1.53
V10	77295823	15-07-2021  22:00:25	6.69	1.2	7.89
V11	77485960	17-07-2021  22:01:49	2.54	0.46	3.0
V12	44805270	17-07-2021  22:17:12	6.69	1.2	7.89
V13	48596288	18-07-2021  22:18:31	4.46	0.8	5.26
V14	77598420	19-07-2021  22:19:28	4.46	0.8	5.26
V15	48598870	20-07-2021  22:23:46	2.23	0.4	2.63
